date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:59	14108/14108	---M-Z	200	added ('OK')	text/css	etag:W/%22371c-B6548AxHGa9IBpjRsxaVfINZ3hE%22	https://cdn.jsdelivr.net/npm/@icon/themify-icons@1.0.1-alpha.3/themify-icons.min.css	C:/My%20Web%20Sites/Katlego2/cdn.jsdelivr.net/npm/@icon/themify-icons@1.0.1-alpha.3/themify-icons.min.css	(from https://okkellmaks/home/)
18:33:00	16964/16964	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/lib/animate/animate.min.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/lib/animate/animate.min.css	(from https://okkellmaks/home/)
18:33:00	2532/2532	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/lib/lightbox/css/lightbox.min.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/lib/lightbox/css/lightbox.min.css	(from https://okkellmaks/home/)
18:33:01	2936/2936	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/lib/owlcarousel/assets/owl.carousel.min.css	(from https://okkellmaks/home/)
18:33:01	164664/164664	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202024%2015:43:04%20GMT	https://okkellmaks/home/style2/css/bootstrap.min.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/css/bootstrap.min.css	(from https://okkellmaks/home/)
18:33:02	18713/18713	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/css/style.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/css/style.css	(from https://okkellmaks/home/)
18:33:02	85875/85875	---M-Z	200	added ('OK')	text/css	etag:W/%2214f73-BDozLk9VXMC/015FG+lVtLk5ZqA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	C:/My%20Web%20Sites/Katlego2/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	(from https://okkellmaks/home/)
18:33:02	59305/59305	---M-Z	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	C:/My%20Web%20Sites/Katlego2/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://okkellmaks/home/)
18:33:02	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/Katlego2/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://okkellmaks/home/)
18:33:03	26053/26053	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Apr%202024%2014:33:48%20GMT	https://okkellmaks/home/css/aos.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/css/aos.css	(from https://okkellmaks/home/)
18:33:04	14239/14239	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2018%20Apr%202024%2014:35:08%20GMT	https://okkellmaks/home/js/aos.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/aos.js	(from https://okkellmaks/home/)
18:33:05	21508/21508	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Nov%202024%2015:45:58%20GMT	https://okkellmaks/home/img/logo.png	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/img/logo.png	(from https://okkellmaks/home/)
18:33:05	73659/73659	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:04%20GMT	https://okkellmaks/home/app.php?a23c66w8-329b-4e67-9169-c5f5899dee4f	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/appbb6a.html	(from https://okkellmaks/home/)
18:33:05	102694/102694	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:05%20GMT	https://okkellmaks/home/index.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/index-2.html	(from https://okkellmaks/home/)
18:33:06	72342/72342	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:05%20GMT	https://okkellmaks/home/personal-loan.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/personal-loan.html	(from https://okkellmaks/home/)
18:33:06	72313/72313	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:05%20GMT	https://okkellmaks/home/business-loan.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/business-loan.html	(from https://okkellmaks/home/)
18:33:07	73896/73896	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:06%20GMT	https://okkellmaks/home/home-loan.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/home-loan.html	(from https://okkellmaks/home/)
18:33:07	73981/73981	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:06%20GMT	https://okkellmaks/home/education-loan.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/education-loan.html	(from https://okkellmaks/home/)
18:33:07	71657/71657	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:07%20GMT	https://okkellmaks/home/carloan.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/carloan.html	(from https://okkellmaks/home/)
18:33:08	75095/75095	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:07%20GMT	https://okkellmaks/home/insurance.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/insurance.html	(from https://okkellmaks/home/)
18:33:08	73647/73647	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:08%20GMT	https://okkellmaks/home/about.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/about.html	(from https://okkellmaks/home/)
18:33:09	13736/13736	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:08%20GMT	https://okkellmaks/home/testmonial.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/testmonial.html	(from https://okkellmaks/home/)
18:33:09	69426/69426	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:08%20GMT	https://okkellmaks/home/contact.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/contact.html	(from https://okkellmaks/home/)
18:33:10	15130/15130	---M--	403	error ('Forbidden')	text/html		https://images.stockcake.com/public/e/6/7/e6783750-cbb3-4fd7-9b6a-548038000f66_large/joyful-friends-together-stockcake.jpg	C:/My%20Web%20Sites/Katlego2/images.stockcake.com/public/e/6/7/e6783750-cbb3-4fd7-9b6a-548038000f66_large/joyful-friends-together-stockcake.23.delayed	(from https://okkellmaks/home/)
18:33:10	73659/73659	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:10%20GMT	https://okkellmaks/home/app.php?apply002	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/app1f2b.html	(from https://okkellmaks/home/)
18:33:11	15130/15130	---M--	403	error ('Forbidden')	text/html		https://images.stockcake.com/public/e/7/4/e749da7a-f83b-4f7b-b04d-2325809a877a_large/joyful-group-interaction-stockcake.jpg	C:/My%20Web%20Sites/Katlego2/images.stockcake.com/public/e/7/4/e749da7a-f83b-4f7b-b04d-2325809a877a_large/joyful-group-interaction-stockcake.25.delayed	(from https://okkellmaks/home/)
18:33:11	73659/73659	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:11%20GMT	https://okkellmaks/home/app.php?quotes	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/app2150.html	(from https://okkellmaks/home/)
18:33:13	15130/15130	---M--	403	error ('Forbidden')	text/html		https://images.stockcake.com/public/b/a/4/ba430ddd-4f88-4284-9fd3-c2c94af58b22_large/car-sold-joy-stockcake.jpg	C:/My%20Web%20Sites/Katlego2/images.stockcake.com/public/b/a/4/ba430ddd-4f88-4284-9fd3-c2c94af58b22_large/car-sold-joy-stockcake.27.delayed	(from https://okkellmaks/home/)
18:33:13	73659/73659	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:13%20GMT	https://okkellmaks/home/app.php?apply01	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/appd7d5.html	(from https://okkellmaks/home/)
18:33:14	15130/15130	---M--	403	error ('Forbidden')	text/html		https://images.stockcake.com/public/8/2/4/824eb313-88cb-442b-99ef-d8039947a0d2_large/urban-tech-connection-stockcake.jpg	C:/My%20Web%20Sites/Katlego2/images.stockcake.com/public/8/2/4/824eb313-88cb-442b-99ef-d8039947a0d2_large/urban-tech-connection-stockcake.29.delayed	(from https://okkellmaks/home/)
18:33:16	15130/15130	---M--	403	error ('Forbidden')	text/html		https://images.stockcake.com/public/5/2/b/52b37bd8-9945-4f82-91b1-adf06f031b72_large/outdoor-business-lunch-stockcake.jpg	C:/My%20Web%20Sites/Katlego2/images.stockcake.com/public/5/2/b/52b37bd8-9945-4f82-91b1-adf06f031b72_large/outdoor-business-lunch-stockcake.2a.delayed	(from https://okkellmaks/home/)
18:33:16	73659/73659	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:16%20GMT	https://okkellmaks/home/app.php?apply03	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/appa467.html	(from https://okkellmaks/home/)
18:33:16	15130/15130	---M--	403	error ('Forbidden')	text/html		https://images.stockcake.com/public/4/c/2/4c2a951e-7162-449e-8e75-3069c42a3d91_large/family-home-sold-stockcake.jpg	C:/My%20Web%20Sites/Katlego2/images.stockcake.com/public/4/c/2/4c2a951e-7162-449e-8e75-3069c42a3d91_large/family-home-sold-stockcake.2c.delayed	(from https://okkellmaks/home/)
18:33:17	73659/73659	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:16%20GMT	https://okkellmaks/home/app.php	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/app.html	(from https://okkellmaks/home/)
18:33:18	324892/324892	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Apr%202025%2016:33:17%20GMT	https://images.unsplash.com/39/lIZrwvbeRuuzqOoWJUEn_Photoaday_CSD%20(1%20of%201)-5.jpg?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D	C:/My%20Web%20Sites/Katlego2/images.unsplash.com/39/lIZrwvbeRuuzqOoWJUEn_Photoaday_CSD%20(1%20of%201)-56762.jpg	(from https://okkellmaks/home/)
18:33:18	15130/15130	---M--	403	error ('Forbidden')	text/html		https://images.stockcake.com/public/7/2/1/72177592-a7b3-48e7-9449-0e32b258ac98_large/meeting-at-cafe-stockcake.jpg	C:/My%20Web%20Sites/Katlego2/images.stockcake.com/public/7/2/1/72177592-a7b3-48e7-9449-0e32b258ac98_large/meeting-at-cafe-stockcake.2f.delayed	(from https://okkellmaks/home/)
18:33:19	73659/73659	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:33:18%20GMT	https://okkellmaks/home/app.php?a23c66f8-329b-4e77-9169-c5f5899dee7f	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/app7277.html	(from https://okkellmaks/home/)
18:33:20	15130/15130	---M--	403	error ('Forbidden')	text/html		https://images.stockcake.com/public/f/e/a/feaabe9b-fa23-400d-a8e7-8822656cb089_large/cafe-collaboration-space-stockcake.jpg	C:/My%20Web%20Sites/Katlego2/images.stockcake.com/public/f/e/a/feaabe9b-fa23-400d-a8e7-8822656cb089_large/cafe-collaboration-space-stockcake.31.delayed	(from https://okkellmaks/home/)
18:33:21	27173/27173	---M--	200	added ('OK')	image/jpeg	etag:%226a25-5de8d561ece23%22	https://loan.websitelayout.net/img/about/about-2.jpg	C:/My%20Web%20Sites/Katlego2/loan.websitelayout.net/img/about/about-2.jpg	(from https://okkellmaks/home/)
18:33:21	24052/24052	---M--	200	added ('OK')	image/webp	etag:%221daf095a29f3a74%22	https://rcs.co.za/media/eqhl35ks/loans-get-you-loan-banner-596x382.jpg?format=webp	C:/My%20Web%20Sites/Katlego2/rcs.co.za/media/eqhl35ks/loans-get-you-loan-banner-596x382accf.jpg	(from https://okkellmaks/home/)
18:33:21	4057/4057	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/img/about/video-play.png	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/img/about/video-play.png	(from https://okkellmaks/home/)
18:33:21	30002/30002	---M--	200	added ('OK')	image/webp	etag:%221daf2e404edd2b2%22	https://rcs.co.za/media/chxdnr2l/home-page-banners-1920x464.jpg?format=webp	C:/My%20Web%20Sites/Katlego2/rcs.co.za/media/chxdnr2l/home-page-banners-1920x464accf.jpg	(from https://okkellmaks/home/)
18:33:22	6083/6083	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/img/latest/lb-1.png	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/img/latest/lb-1.png	(from https://okkellmaks/home/)
18:33:22	5919/5919	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/img/latest/lb-2.png	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/img/latest/lb-2.png	(from https://okkellmaks/home/)
18:33:23	5913/5913	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/img/latest/lb-3.png	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/img/latest/lb-3.png	(from https://okkellmaks/home/)
18:33:24	3972/3972	---M-Z	200	added ('OK')	application/javascript	etag:%22f84-613ef62cee0b6-gzip%22	https://loan.websitelayout.net/js/main.js	C:/My%20Web%20Sites/Katlego2/loan.websitelayout.net/js/main.js	(from https://okkellmaks/home/)
18:33:25	214162/214162	---M-Z	200	added ('OK')	application/javascript	etag:%2234492-5de8d5698c0aa-gzip%22	https://loan.websitelayout.net/js/core.min.js	C:/My%20Web%20Sites/Katlego2/loan.websitelayout.net/js/core.min.js	(from https://okkellmaks/home/)
18:33:26	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%2215d9d-5de8d5695460c-gzip%22	https://loan.websitelayout.net/js/jquery.min.js	C:/My%20Web%20Sites/Katlego2/loan.websitelayout.net/js/jquery.min.js	(from https://okkellmaks/home/)
18:33:27	66834/66834	---M-Z	200	added ('OK')	application/javascript	etag:%2210512-5de8d56b5129d-gzip%22	https://loan.websitelayout.net/quform/js/plugins.js	C:/My%20Web%20Sites/Katlego2/loan.websitelayout.net/quform/js/plugins.js	(from https://okkellmaks/home/)
18:33:27	1225/1225	---M-Z	200	added ('OK')	application/javascript	etag:%224c9-5de8d56b62bdc-gzip%22	https://loan.websitelayout.net/quform/js/scripts.js	C:/My%20Web%20Sites/Katlego2/loan.websitelayout.net/quform/js/scripts.js	(from https://okkellmaks/home/)
18:33:28	18479/18479	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2004%20Apr%202024%2022:02:48%20GMT	https://okkellmaks/home/js/popper.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/popper.min.js	(from https://okkellmaks/home/)
18:33:31	60054/60054	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2004%20Apr%202024%2022:05:20%20GMT	https://okkellmaks/home/js/bootstrap.mtin.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/bootstrap.mtin.js	(from https://okkellmaks/home/)
18:33:31	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Katlego2/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://okkellmaks/home/)
18:33:31	89795/89795	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2003:27:01%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	C:/My%20Web%20Sites/Katlego2/ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	(from https://okkellmaks/home/)
18:33:32	8159/8159	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/lib/wow/wow.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/lib/wow/wow.min.js	(from https://okkellmaks/home/)
18:33:33	2303/2303	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/lib/easing/easing.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/lib/easing/easing.min.js	(from https://okkellmaks/home/)
18:33:33	9028/9028	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/lib/waypoints/waypoints.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/lib/waypoints/waypoints.min.js	(from https://okkellmaks/home/)
18:33:34	2406/2406	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/lib/counterup/counterup.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/lib/counterup/counterup.min.js	(from https://okkellmaks/home/)
18:33:34	9754/9754	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/lib/lightbox/js/lightbox.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/lib/lightbox/js/lightbox.min.js	(from https://okkellmaks/home/)
18:33:35	42766/42766	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/lib/owlcarousel/owl.carousel.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/lib/owlcarousel/owl.carousel.min.js	(from https://okkellmaks/home/)
18:33:35	2321/2321	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2007%20Jul%202024%2011:08:24%20GMT	https://okkellmaks/home/style2/js/main.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/style2/js/main.js	(from https://okkellmaks/home/)
18:33:35	86927/86927	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/jquery-3.3.1.min.js	(from https://okkellmaks/home/)
18:33:36	60010/60010	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/js/bootstrap.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/bootstrap.min.js	(from https://okkellmaks/home/)
18:33:36	2942/2942	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/js/jquery.nice-select.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/jquery.nice-select.min.js	(from https://okkellmaks/home/)
18:33:37	253669/253669	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/js/jquery-ui.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/jquery-ui.min.js	(from https://okkellmaks/home/)
18:33:37	60010/60010	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/js/jquery.nicescroll.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/jquery.nicescroll.min.js	(from https://okkellmaks/home/)
18:33:38	20216/20216	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/jquery.magnific-popup.min.js	(from https://okkellmaks/home/)
18:33:39	20977/20977	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/js/jquery.slicknav.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/jquery.slicknav.js	(from https://okkellmaks/home/)
18:33:39	44342/44342	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/js/owl.carousel.min.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/owl.carousel.min.js	(from https://okkellmaks/home/)
18:33:39	4515/4515	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2014%20Nov%202024%2012:12:02%20GMT	https://okkellmaks/home/js/main.js	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/js/main.js	(from https://okkellmaks/home/)
18:33:40	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/fonts/fontawesome-webfont3e6e.eot	(from https://okkellmaks/home/css/font-awesome.min.css)
18:33:41	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/fonts/fontawesome-webfontd41d.eot	(from https://okkellmaks/home/css/font-awesome.min.css)
18:33:44	77160/77160	---M--	200	added ('OK')	font/woff2	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/fonts/fontawesome-webfont3e6e.woff2	(from https://okkellmaks/home/css/font-awesome.min.css)
18:33:46	98024/98024	---M--	200	added ('OK')	font/woff	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/fonts/fontawesome-webfont3e6e.woff	(from https://okkellmaks/home/css/font-awesome.min.css)
18:33:46	165548/165548	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/fonts/fontawesome-webfont3e6e.ttf	(from https://okkellmaks/home/css/font-awesome.min.css)
18:33:47	59572/59572	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/fonts/ElegantIcons.eot	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/fonts/ElegantIcons.eot	(from https://okkellmaks/home/css/elegant-icons.css)
